instituicao,uf,populacao,conta,estagio,valor,ano
Prefeitura Municipal de Porto Velho - RO,RO,529544,20.122 - Administração Geral,PAGO,351726.91,2020
Prefeitura Municipal de Porto Velho - RO,RO,529544,23 - Comércio e Serviços,PAGO,319150.4,2020
Prefeitura Municipal de Porto Velho - RO,RO,529544,23.691 - Promoção Comercial,PAGO,313957.88,2020
Prefeitura Municipal de Porto Velho - RO,RO,529544,23.692 - Comercialização,PAGO,5192.52,2020
Prefeitura Municipal de Porto Velho - RO,RO,529544,26 - Transporte,PAGO,1920285.59,2020
Prefeitura Municipal de Porto Velho - RO,RO,529544,26.122 - Administração Geral,PAGO,1920285.59,2020
Prefeitura Municipal de Porto Velho - RO,RO,529544,27 - Desporto e Lazer,PAGO,1885539.48,2020
Prefeitura Municipal de Porto Velho - RO,RO,529544,27.812 - Desporto Comunitário,PAGO,23504.52,2020
Prefeitura Municipal de Porto Velho - RO,RO,529544,27.813 - Lazer,PAGO,1598.58,2020
Prefeitura Municipal de Porto Velho - RO,RO,529544,27.122 - Administração Geral,PAGO,558111.36,2020
Prefeitura Municipal de Porto Velho - RO,RO,529544,28 - Encargos Especiais,PAGO,7.99408194E7,2020
Prefeitura Municipal de Porto Velho - RO,RO,529544,28.846 - Outros Encargos Especiais,PAGO,7.99408194E7,2020
Prefeitura Municipal de Porto Alegre - RS,RS,1483771,01 - Legislativa,EMPENHADO,1.071813635E8,2020
Prefeitura Municipal de Porto Alegre - RS,RS,1483771,01.031 - Ação Legislativa,EMPENHADO,9.75553605E7,2020
Prefeitura Municipal de Porto Alegre - RS,RS,1483771,02 - Judiciária,EMPENHADO,5.459104417E7,2020
Prefeitura Municipal de Porto Alegre - RS,RS,1483771,02.122 - Administração Geral,EMPENHADO,5.227735793E7,2020
Prefeitura Municipal de Porto Alegre - RS,RS,1483771,04 - Administração,EMPENHADO,5.0316222459E8,2020
Prefeitura Municipal de Porto Alegre - RS,RS,1483771,04.121 - Planejamento e Orçamento,EMPENHADO,186241.55,2020
Prefeitura Municipal de Porto Alegre - RS,RS,1483771,04.122 - Administração Geral,EMPENHADO,4.2036832264E8,2020
